,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,log_Capacity,City_DA,City_DC,City_LA,City_NY,City_SF
4,1.0,1,58,6,1,4.5,92.9183006536,4.06044301055,4.41407475997,1.79175946923,1,0.0,0.0,0.0,0.0,1.0,0.0
5,1.0,1,43,29,1,5.0,92.9183006536,3.76120011569,4.41407475997,3.36729582999,1,0.0,0.0,0.0,0.0,1.0,0.0
6,0.0,2,220,4,2,5.0,92.9183006536,5.39362754635,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
7,1.0,1,20,11,0,5.0,92.9183006536,2.99573227355,4.41407475997,2.3978952728,1,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,2,68,7,1,4.5,92.9183006536,4.21950770518,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,1.0,2,115,5,2,5.0,92.9183006536,4.74493212836,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
10,1.0,2,58,12,1,5.0,92.9183006536,4.06044301055,4.41407475997,2.48490664979,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,1.0,2,99,7,2,4.5,92.9183006536,4.59511985013,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
12,1.0,2,120,0,2,0.0,92.9183006536,4.78749174278,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
13,1.0,2,198,17,2,5.0,92.9183006536,5.28826703069,4.41407475997,2.83321334406,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,1.0,2,72,28,1,5.0,92.9183006536,4.27666611902,4.41407475997,3.33220451018,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,1,55,3,1,4.5,92.9183006536,4.00733318523,4.41407475997,1.09861228867,1,0.0,0.0,0.0,0.0,1.0,0.0
16,1.0,2,97,56,1,5.0,92.9183006536,4.5747109785,4.41407475997,4.02535169074,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
17,1.0,2,99,3,1,5.0,92.9183006536,4.59511985013,4.41407475997,1.09861228867,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,0.0,1,110,12,2,5.0,92.9183006536,4.70048036579,4.41407475997,2.48490664979,1,0.0,0.0,0.0,0.0,1.0,0.0
1,1.0,3,105,7,2,5.0,92.9183006536,4.65396035016,4.41407475997,1.94591014906,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
2,1.0,2,49,12,1,5.0,92.9183006536,3.89182029811,4.41407475997,2.48490664979,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,1.0,2,77,9,1,5.0,92.9183006536,4.34380542185,4.41407475997,2.19722457734,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
4,1.0,2,110,0,1,0.0,92.9183006536,4.70048036579,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
5,1.0,4,100,3,2,5.0,92.9183006536,4.60517018599,4.41407475997,1.09861228867,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
6,1.0,6,203,48,2,5.0,92.9183006536,5.31320597904,4.41407475997,3.87120101091,1,1.79175946923,0.0,0.0,0.0,1.0,0.0
7,1.0,2,120,3,2,5.0,92.9183006536,4.78749174278,4.41407475997,1.09861228867,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
8,0.0,2,110,7,2,4.5,92.9183006536,4.70048036579,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,2.0,2,130,0,2,0.0,92.9183006536,4.86753445046,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
10,1.0,2,95,10,1,4.5,92.9183006536,4.5538768916,4.41407475997,2.30258509299,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,0.0,2,132,1,2,0.0,92.9183006536,4.88280192259,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
12,1.0,2,89,76,1,4.5,92.9183006536,4.48863636973,4.41407475997,4.33073334029,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
13,0.0,2,100,4,2,5.0,92.9183006536,4.60517018599,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,1.0,1,58,6,1,4.5,92.9183006536,4.06044301055,4.41407475997,1.79175946923,1,0.0,0.0,0.0,0.0,1.0,0.0
15,1.0,1,43,29,1,5.0,92.9183006536,3.76120011569,4.41407475997,3.36729582999,1,0.0,0.0,0.0,0.0,1.0,0.0
16,1.0,1,65,13,1,5.0,92.9183006536,4.1743872699,4.41407475997,2.56494935746,1,0.0,0.0,0.0,0.0,1.0,0.0
17,1.0,2,150,49,1,5.0,92.9183006536,5.0106352941,4.41407475997,3.89182029811,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,1.0,1,58,6,1,4.5,92.9183006536,4.06044301055,4.41407475997,1.79175946923,1,0.0,0.0,0.0,0.0,1.0,0.0
1,1.0,1,43,29,1,5.0,92.9183006536,3.76120011569,4.41407475997,3.36729582999,1,0.0,0.0,0.0,0.0,1.0,0.0
2,1.0,1,65,13,1,5.0,92.9183006536,4.1743872699,4.41407475997,2.56494935746,1,0.0,0.0,0.0,0.0,1.0,0.0
3,1.0,2,150,49,1,5.0,92.9183006536,5.0106352941,4.41407475997,3.89182029811,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
4,1.0,1,37,6,0,5.0,92.9183006536,3.61091791264,4.41407475997,1.79175946923,1,0.0,0.0,0.0,0.0,1.0,0.0
5,1.0,2,68,7,1,4.5,92.9183006536,4.21950770518,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
6,1.0,1,39,36,1,4.0,92.9183006536,3.66356164613,4.41407475997,3.58351893846,1,0.0,0.0,0.0,0.0,1.0,0.0
7,1.0,2,105,1,1,0.0,92.9183006536,4.65396035016,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
8,1.0,2,75,14,1,5.0,92.9183006536,4.31748811354,4.41407475997,2.63905732962,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,1.0,1,38,3,1,4.5,92.9183006536,3.63758615973,4.41407475997,1.09861228867,1,0.0,0.0,0.0,0.0,1.0,0.0
10,1.0,2,58,94,1,5.0,92.9183006536,4.06044301055,4.41407475997,4.54329478227,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,1.0,2,80,164,1,4.5,92.9183006536,4.38202663467,4.41407475997,5.09986642782,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
12,1.0,2,58,12,1,5.0,92.9183006536,4.06044301055,4.41407475997,2.48490664979,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
13,1.0,2,99,7,2,4.5,92.9183006536,4.59511985013,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,1.0,2,120,0,2,0.0,92.9183006536,4.78749174278,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,2,198,17,2,5.0,92.9183006536,5.28826703069,4.41407475997,2.83321334406,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
16,1.0,1,20,15,0,4.5,92.9183006536,2.99573227355,4.41407475997,2.7080502011,1,0.0,0.0,0.0,0.0,1.0,0.0
17,1.0,2,99,13,1,5.0,92.9183006536,4.59511985013,4.41407475997,2.56494935746,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,1.0,2,78,15,1,4.0,92.9183006536,4.35670882669,4.41407475997,2.7080502011,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
1,1.0,2,75,0,1,0.0,92.9183006536,4.31748811354,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
2,1.0,2,185,17,2,5.0,92.9183006536,5.22035582508,4.41407475997,2.83321334406,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,1.0,2,143,1,2,0.0,92.9183006536,4.96284463026,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
4,1.0,2,45,150,0,5.0,92.9183006536,3.80666248977,4.41407475997,5.0106352941,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
5,1.0,3,130,20,2,4.5,92.9183006536,4.86753445046,4.41407475997,2.99573227355,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
6,1.0,2,80,25,1,5.0,92.9183006536,4.38202663467,4.41407475997,3.21887582487,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
7,1.0,3,110,15,2,4.5,92.9183006536,4.70048036579,4.41407475997,2.7080502011,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
8,0.0,2,220,4,2,5.0,92.9183006536,5.39362754635,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,1.0,2,90,20,1,5.0,92.9183006536,4.49980967033,4.41407475997,2.99573227355,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
10,1.0,3,145,4,2,5.0,92.9183006536,4.97673374242,4.41407475997,1.38629436112,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
11,1.0,4,98,10,2,4.5,92.9183006536,4.58496747867,4.41407475997,2.30258509299,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
