from,to
261479,724960
261479,1230860
261479,1271006
261479,1321000
261479,1809526
261479,1809526
261479,1271006
261479,1617106
261479,2778065
234466,890629
234466,693368
234466,693368
234466,893242
261479,691450
234466,693368
210826,828328
210826,828328
210826,828328
439455,75095
439455,155013
439455,266109
439455,6373
439455,75095
439455,266109
439455,1189496
439455,2065147
439455,2305709
439455,2522968
439455,2790264
439455,2630736
439455,1197757
439455,2305709
439455,2065147
439455,2065147
3004378,519886
234466,38731
234466,38731
234466,69500
261479,73152
261479,73152
261479,113530
261479,113530
261479,132369
234466,188739
234466,226744
234466,188739
261479,226402
234466,188739
261479,179894
261479,209125
234466,303154
234466,347055
261479,431212
234466,582325
234466,582325
234466,582325
234466,648706
234466,693309
234466,831806
234466,831806
234466,831806
234466,831806
234466,831806
234466,831806
234466,843843
234466,870070
234466,893242
234466,967624
234466,1102216
234466,2272876
234466,1448726
234466,554511
261479,1809526
261479,1679315
261479,2565363
261479,1658289
261479,1809526
234466,967624
234466,1102216
234466,1102216
234466,3593584
234466,3593663
234466,693368
234466,693368
234466,693368
234466,1557191
234466,1557191
234466,1557191
261479,690912
261479,690912
234466,582325
234466,1102216
234466,3325134
234466,3593448
234466,831806
210826,828328
210826,828328
439455,129349
439455,75095
439455,266109
439455,266109
439455,155013
439455,359286
439455,991404
439455,1189496
439455,1189496
439455,1343742
439455,2419578
439455,1351097
439455,2065147
439455,2626925
439455,2729182
439455,791441
439455,991404
439455,2065147
439455,2065147
439455,2065147
439455,2065147
439455,2065147
439455,2065147
439455,2065147
439455,519397
439455,518201
439455,1189496
439455,1199477
439455,2065147
439455,2065147
3004378,519886
3004378,519886
3004378,453889
3004378,2065324
3004378,1267996
234466,38731
234466,38731
234466,54650
234466,54650
234466,38731
234466,54650
261479,133362
261479,63893
261479,63893
210826,104726
210826,75428
210826,75428
234466,188739
210826,153402
234466,188739
261479,220301
234466,534335
234466,534335
234466,534335
234466,582325
234466,582325
234466,693309
234466,737914
234466,1218956
234466,1448726
261479,622744
261479,724960
261479,848242
261479,1271006
261479,2429487
261479,1809526
261479,1809526
261479,2565363
261479,3605685
261479,1809526
234466,737914
234466,3819544
234466,3939650
234466,4111177
234466,4134240
234466,4328490
234466,693368
234466,870070
261479,572871
261479,1014361
234466,1190161
261479,691450
234466,534335
261479,734120
261479,1809526
261479,2690800
261479,2766763
210826,828328
234466,4134147
234466,1448726
261479,690912
210826,828328
210826,828328
439455,24371
439455,266109
439455,193681
439455,261943
3004378,75996
3004378,102974
3004378,185494
439455,1189496
439455,2989401
439455,4194573
439455,2291502
439455,2065147
439455,2065147
439455,2416040
439455,720607
439455,1183754
439455,1199477
3004378,2065324
3004378,519886
3004378,519886
3004378,1305413
234466,50225
234466,50225
234466,65861
261479,82268
234466,188739
234466,270067
261479,179894
234466,433055
234466,710924
234466,831806
234466,838100
234466,1218956
234466,1547870
234466,3888866
234466,1547870
234466,1547870
234466,1908109
234466,1908109
234466,3888866
261479,690912
261479,690912
261479,1809526
261479,2542245
261479,2766763
261479,1809526
234466,534335
234466,554511
234466,693368
234466,1145365
234466,1547870
234466,1557191
234466,1557191
234466,1557191
234466,3888866
234466,693368
261479,690912
234466,1002607
234466,1002607
234466,693368
234466,710924
210826,2278890
3004378,280109
439455,1118336
439455,2065147
439455,2065147
439455,2536443
439455,2065147
439455,2065147
439455,2299564
439455,2091806
439455,2065147
439455,2065147
439455,2291502
3004378,2689878
439455,2526632
3004378,519886
3004378,1556833
3004378,2065324
234466,65861
261479,113530
234466,51792
261479,123859
234466,188739
234466,188739
234466,188739
261479,179894
234466,43933
234466,65861
234466,188739
210826,153402
234466,306609
234466,347055
234466,710924
234466,710924
234466,870070
234466,1190161
234466,1448726
234466,1359457
234466,1651823
261479,1658623
261479,2565363
234466,737914
234466,1448726
234466,534335
261479,608029
261479,690912
234466,534335
234466,554511
234466,693368
234466,710924
234466,1135878
234466,2274065
234466,1464397
234466,3888866
234466,534335
234466,693368
439455,110330
439455,155013
439455,266109
439455,413511
439455,1118336
439455,2065147
439455,2065147
439455,2526632
439455,1825774
439455,2065147
439455,2065147
3004378,1259964
439455,2526632
3004378,453889
3004378,519886
3004378,519886
234466,65861
261479,104726
234466,188739
261479,209125
261479,209125
261479,245009
261479,185223
210826,104726
234466,522698
234466,599418
234466,693368
234466,693309
234466,710924
234466,710924
234466,710924
234466,5820490
234466,5878077
261479,2429487
234466,831806
234466,693368
234466,693368
234466,1448726
261479,1549563
234466,1448726
261479,690912
234466,1448726
439455,110330
439455,110330
439455,110330
439455,2323653
439455,1118336
439455,2526632
3004378,453889
3004378,1259964
439455,1118336
3004378,519886
3004378,2528273
3004378,2528273
234466,65861
234466,65861
234466,127880
234466,131183
261479,96643
261479,96643
234466,188739
234466,49778
234466,65861
210826,104726
210826,104726
234466,188739
234466,188739
234466,188739
234466,887897
234466,1651823
261479,690912
261479,1809526
234466,693309
261479,496056
261479,333238
234466,564029
234466,586402
234466,710924
210826,3547331
234466,760176
234466,1448726
261479,1271006
234466,693368
234466,693368
261479,2124438
439455,110330
439455,110330
439455,110330
439455,110330
439455,110330
439455,110330
439455,120765
439455,236548
439455,360366
439455,360366
439455,2526632
439455,2065147
439455,2359261
439455,991355
439455,2526632
3004378,938558
439455,1118336
3004378,519886
3004378,1259964
3004378,2576553
3004378,2576553
3004378,3802964
234466,693309
234466,693309
3004378,859464
234466,65861
439455,1118336
3004378,6129939
234466,148622
234466,229968
234466,2006066
210826,104726
234466,188739
234466,1448726
234466,1691430
439455,2065147
3004378,519886
261479,1809526
234466,702861
439455,1597931
3004378,1259964
261479,96643
261479,63893
261479,431212
261479,63893
439455,2359261
439455,2065147
439455,1619027
210826,104726
210826,104726
210826,104726
210826,1149336
210826,1149336
234466,534335
210826,3939222
