efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6FMXV02.0VZP,22138,3,7.0,-1.0,1,B3,BIN 3
6FMXV02.0VZP,22138,7,9.0,-1.0,1,S2,SULEV II
6FMXV02.0VD4,22139,8,1.0,-1.0,-1,L1,LEV
6FMXV02.0VD4,22139,1,6.0,-1.0,1,B4,BIN 4
6FMXV02.0VZP,22139,3,7.0,-1.0,1,B3,BIN 3
6FMXV02.0VZP,22139,7,9.0,-1.0,1,S2,SULEV II
6TKXV02.35CA,22140,3,5.0,-1.0,-1,B5,BIN 5
6TKXV02.35CA,22140,7,5.0,-1.0,-1,L2,LEV II
6TKXV02.35CA,22141,3,5.0,-1.0,-1,B5,BIN 5
6TKXV02.35CA,22141,7,5.0,-1.0,-1,L2,LEV II
6TKXV03.05EA,22142,3,5.0,-1.0,-1,B5,BIN 5
6TKXV03.05EA,22142,7,6.0,-1.0,1,U2,ULEV II
6TKXV03.05EA,22143,3,5.0,-1.0,-1,B5,BIN 5
6TKXV03.05EA,22143,7,6.0,-1.0,1,U2,ULEV II
6MBXV03.5U2A,22144,7,3.0,-1.0,-1,U1,ULEV
6MBXV03.5U2A,22144,3,5.0,-1.0,-1,B5,BIN 5
6MBXV03.5U2A,22145,7,3.0,-1.0,-1,U1,ULEV
6MBXV03.5U2A,22145,3,5.0,-1.0,-1,B5,BIN 5
6MBXV05.0U2A,22146,7,3.0,-1.0,-1,U1,ULEV
6MBXV05.0U2A,22146,3,5.0,-1.0,-1,B5,BIN 5
6MBXV05.5LBI,22147,3,1.0,-1.0,-1,B9,BIN 9
6MBXV05.5LBI,22147,7,1.0,-1.0,-1,L1,LEV
6FJXX02.5YPY,22148,9,2.0,-1.0,-1,B8,BIN 8
6FJXX02.5MTC,22149,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22149,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5NVD,22149,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5NVD,22149,7,9.0,-1.0,1,S2,SULEV II
6FJXX02.5MTC,22150,3,5.0,-1.0,1,B5,BIN 5
6FJXX02.5MTC,22150,7,5.0,-1.0,1,L2,LEV II
6FJXX02.5NVD,22150,3,5.0,-1.0,1,B5,BIN 5
6FJXX02.5NVD,22150,7,9.0,-1.0,1,S2,SULEV II
6FJXX02.5YPY,22151,9,2.0,-1.0,-1,B8,BIN 8
6VVXB02.5U2T,22152,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22152,7,6.0,-1.0,1,U2,ULEV II
6VVXB02.5U2T,22153,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22153,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.4S2N,22154,7,9.0,-1.0,1,S2,SULEV II
6VVXV02.4U2N,22154,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.4U2N,22154,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.4U2N,22155,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.4U2N,22155,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.5L2T,22156,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.5L2T,22156,7,5.0,-1.0,-1,L2,LEV II
6VVXV02.5L2T,22157,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.5L2T,22157,7,5.0,-1.0,-1,L2,LEV II
6VVXB02.5U2T,22158,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22158,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.5L2T,22159,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.5L2T,22159,7,5.0,-1.0,-1,L2,LEV II
6VVXV02.5L2T,22160,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.5L2T,22160,7,5.0,-1.0,-1,L2,LEV II
6GMXT05.3378,22161,9,2.0,-1.0,-1,B8,BIN 8
6GMXT04.3181,22162,3,1.0,-1.0,-1,B10,BIN 10
6GMXT04.3181,22162,7,1.0,-1.0,-1,L1,LEV
6GMXT04.3181,22163,3,1.0,-1.0,-1,B10,BIN 10
6GMXT04.3181,22163,7,1.0,-1.0,-1,L1,LEV
6GMXT05.3379,22164,9,2.0,-1.0,-1,B8,BIN 8
6GMXT05.3379,22165,9,2.0,-1.0,-1,B8,BIN 8
6GMXT05.3379,22166,9,2.0,-1.0,-1,B8,BIN 8
6GMXT06.2390,22167,9,2.0,-1.0,-1,B8,BIN 8
6GMXT02.8189,22168,3,5.0,-1.0,-1,B5,BIN 5
